id,statement_id,dimension,text,social_desirability,context,factor_loading,discrimination,difficulty,is_calibrated,calibration_version,created_at,updated_at
71,T11001,T11,我能從不同觀點中找到共同點,5.7,team,0.81,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
72,T11002,T11,衝突對我來說是尋找更好解決方案的機會,5.3,general,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
73,T11003,T11,我善於協調不同立場的人達成共識,5.8,team,0.82,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
74,T11004,T11,面對爭議時，我會尋求雙贏的解決方案,5.9,team,0.83,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
75,T11005,T11,我能客觀地看待各方的合理訴求,5.6,general,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
76,T12001,T12,我每天都會列出待辦事項清單並逐項完成,5.2,work,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
77,T12002,T12,完成任務帶給我極大的滿足感,5.5,general,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
78,T12003,T12,我經常在下班後還繼續思考如何提高效率,4.8,work,0.68,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
79,T12004,T12,沒有具體成果的一天讓我感到焦慮,4.2,general,0.7,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
80,T12005,T12,我會追蹤並記錄自己的工作進度,5.1,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
81,T12006,T12,我經常將自己的表現與他人比較,4.3,general,0.7,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
82,T12007,T12,贏得競爭給我強大的動力,4.8,general,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
83,T12008,T12,第二名對我來說等同於失敗,3.9,general,0.66,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
84,T12009,T12,我會研究競爭對手以確保領先,5.0,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
85,T12010,T12,沒有競爭的環境讓我失去動力,4.4,work,0.69,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
